ItmId,ItmPthId,ItmIdentifier,ItmDescription,ItmType,ItmSkinnable,ItmStackAmount,ItmMaximumAmount,ItmLook,ItmLookColor,ItmIcon,ItmIconColor,ItmSex,ItmLevel,ItmMark,ItmDurability,ItmMinimumSDamage,ItmMaximumSDamage,ItmMinimumLDamage,ItmMaximumLDamage,ItmArmor,ItmHit,ItmDam,ItmVita,ItmMana,ItmMight,ItmWill,ItmGrace,ItmProtection,ItmHealing,ItmWisdom,ItmMightRequired,ItmExchangeable,ItmDepositable,ItmDroppable,ItmCon,ItmSound,ItmText,ItmBuyPrice,ItmSellPrice,ItmBuyText,ItmThrown,ItmThrownConfirm,ItmRepairable,ItmIndestructible,ItmTimer,ItmBoD,ItmProtected,ItmUnequip
0,0,coins_1,Coins,18,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1,0,coins_2_99,Coins,18,0,0,0,0,0,73,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
2,0,coins_100_999,Coins,18,0,0,0,0,0,72,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
3,0,coins_1000,Coins,18,0,0,0,0,0,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
4,0,fox_fur,Fox fur,18,0,50,50,0,0,218,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,22,11,,0,0,1,0,0,0,0,0
5,0,red_fox_fur,Red fox fur,18,0,50,50,0,0,2419,21,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,32,16,,0,0,1,0,0,0,0,0
6,0,light_fox_fur,Light fox fur,18,0,50,50,0,0,2419,20,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,35,17,,0,0,1,0,0,0,0,0
7,0,chung_ryong_key,Chung ryong key,18,0,1,0,0,0,754,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
8,0,fox_tail,Fox tail,18,0,50,50,0,0,726,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,200,100,,0,0,1,0,0,0,0,0
9,0,fox_blade,Fox blade,3,0,1,0,2,0,647,0,2,0,0,50000,50,85,40,70,-4,1,1,0,0,0,0,2,0,0,0,30,0,0,0,0,331,,10000,5000,,0,1,1,0,0,1,0,0
