NpcId,NpcIdentifier,NpcDescription,NpcType,NpcMapId,NpcX,NpcY,NpcTimer,NpcLook,NpcLookColor,NpcSex,NpcSide,NpcState,NpcFace,NpcFaceColor,NpcHair,NpcHairColor,NpcSkinColor,NpcIsChar,NpcIsF1Npc,NpcIsRepairNpc,NpcIsShopNpc,NpcIsBankNpc,NpcReturnDistance,NpcMoveTime,NpcCanReceiveItem,Enabled,EraFeature
1,F1Npc,f1npc,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
2,TutorialNpc1,Woodland Poet,0,4714,11,9,0,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
3,TutorialNpc2,Woodland Poet,0,4715,11,9,0,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
4,MignokNpc,Mignok,0,4716,3,7,0,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,1,
5,MessengerNpc,Redcap,0,7,8,4,0,61,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
6,TominaruNpc,Tominaru,0,4716,10,7,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
7,WoodlandGuardNpc,Woodland Guard,0,4717,11,17,0,146,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
8,WoodlandAngelNpc,Woodland Angel,0,4718,10,6,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9,NpcSpawnHandlerNpc,npcSpawnHandler,0,4,3,3,180000,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
10,MobSpawnNpc,Mob Spawn,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
11,DartTrapNpc,Dart Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
12,MobSpawnHandlerNpc,mobSpawnHandler,0,4,4,3,1000,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
13,FlashTrapNpc,Flash Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
14,SnareTrapNpc,Snare Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
15,RepeatingDartTrapNpc,Repeating Dart Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
16,SpearTrapNpc,Spear Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
17,PoisonDartTrapNpc,Poison Dart Trap,2,4,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
18,DeathTrapNpc,Death Trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
19,SleepTrapNpc,Sleep Trap,2,4,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20,MainTutorialNpc,IronHeart,0,36,4,6,0,8,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
21,SmithNpc,Beard Smith,0,3,3,3,0,6,13,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
22,ButcherNpc,Ogi,0,43,1,3,0,11,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
23,FishNpc,Bate,0,0,25,171,0,8,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
24,RingShopNpc,Baegi,0,29,3,3,0,86,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
25,LibrarianNpc,Pond,0,3400,1,4,0,43,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
26,NoghNpc,Nogh,0,42,3,6,0,185,14,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
27,ChuRuaNpc,Chu Rua,0,1111,13,5,10000,174,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
28,ChuRuaRabbitNpc,Rabbit,0,1112,8,13,5000,21,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
29,ChuRuaRockNpc,Ancient dolmen,0,1113,11,12,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
30,ChuRuaTigerNpc,Tiger,0,1116,9,7,5000,29,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
31,DakHoNpc,Dak-Ho,0,4549,47,194,0,2,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
32,SanhaeMayorNpc,Sanhae Mayor,0,1127,7,8,0,69,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
33,HaguruNpc,Haguru,0,1321,15,32,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
34,YarlofNpc,Yarlof,0,1321,16,9,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,druid_bouquet_quest
35,MageTrainerNpc,Haedu,0,14,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
36,WarriorTrainerNpc,Tabaek,0,12,4,3,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
37,RogueTrainerNpc,Maro,0,16,5,4,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
38,PoetTrainerNpc,Jinsun,0,18,6,2,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
39,MageTrainerNpc,Eldritch,0,367,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
40,PoetTrainerNpc,Song,0,369,6,3,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
