NpcKey,Abilities
SmithNpc,shop|repair
MessengerNpc,shop|messenger
InnNpc,shop|bank
InnNpc2,
FishNpc,fish
LibrarianNpc,librarian
MainTutorialNpc,stars_hint
WarriorTrainerNpc,warrior_trainer|minor_quest|armor_quest
RogueTrainerNpc,rogue_trainer|minor_quest|armor_quest
MageTrainerNpc,mage_trainer|minor_quest|sute|armor_quest
PoetTrainerNpc,poet_trainer|minor_quest|armor_quest|poet_whip
BloodNpc,forget_secret
RogueGuildShamanNpc,appearance
ArenaMasterNpc,war_paint
ExpSeller,shadow_stats
BonHwaNpc,bon_hwa
ChapelNpc,shop|chapel
ShamanNpc,revive
BaekhoNpc,revive|totem_worship
HyunMooNpc,revive|totem_worship
ChungRyongNpc,revive|totem_worship
JuJakNpc,revive|totem_worship
HermitNpc,hermit
AncientLeviathanNpc,ancient_leviathan
BorderPatrolNpc,border_patrol
ClawNpc,tiger_mail
MythicAllianceNpc,mythic_alliance
AlignmentNpc,alignment
SummitNpc,summit
